Date,Close,High,Low,Open,Volume,RSI_14,STO_K,STO_D,OBV,ATR_14,SMA_50,SMA_200,MACD,Volatility_Ratio,Regime_Flag,Target_Return,Sentiment,Returns,Vol_Change,Close_z,RSI_14_z,STO_K_z,MACD_z,ATR_14_z,Volatility_Ratio_z,OBV_z,SMA_200_z,Returns_z,Vol_Change_z
2021-10-01,58765.578125,58890.078125,58551.140625,58889.76953125,10200,56.86397125643055,25.0810384292762,44.16129876676454,88825000,599.4900282105875,56441.61734375,51641.849765625,820.1765922182167,1.020138059282621,0.0,0.0090825650751649,0.0,-0.0061018681652932,0.146067415730337,0.4960750255253148,-2.85803832440757,-3.3204135614591856,-1.2742765471478923,1.7884229554668267,1.8737633612322897,-0.081223666393615,1.6110568554619682,-1.2692533783086652,-0.005386842063596
2021-10-04,59299.3203125,59548.8203125,58952.109375,59143.0,10000,62.111155512608114,48.9398305449228,40.63632218678248,88835000,612.6151824455455,56570.85953125,51708.54697265625,773.6658800552614,1.0330897204506564,0.0,0.0075137217661511,0.0,0.0090825650751649,-0.0196078431372549,0.83968701143871,-1.9569719883935277,-1.7906565340780802,-1.6226682092190596,1.9137192997854144,1.9107648586069443,0.2658585045608104,1.6071993741760056,1.0811999379152375,-0.2767177984012208
2021-10-05,59744.87890625,59778.87109375,59127.0390625,59320.140625,12900,65.84610219300845,69.38034923229108,47.80040606883001,88847900,615.4163859315779,56706.24109375,51776.77630859375,763.9522939013259,1.0300738694228038,0.0,-0.0092919836421649,0.0,0.0075137217661511,0.29,1.140974585290137,-1.3798861403385831,-0.6559280956161683,-1.6932138668530003,1.7951950593556925,1.7131866081978508,0.7716617993071209,1.606563833195228,0.8034360050811387,0.169745243890939
2021-10-06,59189.73046875,59963.5703125,59079.859375,59942.0,7000,58.15405360759682,43.91226900635098,54.07748292785494,88840900,634.5802824721795,56832.9903125,51841.45765625,703.3505798901169,1.0721121340588204,0.0,0.0082463233467112,0.0,-0.0092919836421649,-0.4573643410852713,0.6383658813488942,-2.156914851113643,-1.8303126005195225,-2.044210783426204,1.995329184428818,2.103064634518277,0.4046319587195985,1.6016503844253405,-1.697258249696899,-0.8946622120008011
2021-10-07,59677.828125,59914.91015625,59597.05859375,59632.80859375,5700,62.32165391824405,66.30431666021533,59.86564496628578,88846600,641.0516685455952,56974.971640625,51908.5309375,686.791778472325,1.0741873300128502,0.0,0.0063881424764903,0.0,0.0082463233467111,-0.1857142857142857,1.0331208670620484,-1.525580415614653,-0.6539092272069283,-2.045277168450921,1.9209985250921808,1.9150673029220409,0.6270394429621057,1.6009182298034186,0.9089506004767728,-0.5068665593845381
2021-10-08,60059.05859375,60212.30078125,59830.9296875,59960.390625,5700,65.23406172392716,83.79370779751409,64.67009782136012,88852300,633.4388819530528,57127.27859375,51975.49392578125,696.4032189886202,1.0546933248450403,0.0,0.0012774535273515,0.0,0.0063881424764902,0.0,1.383862785864253,-1.1196665979787808,0.237402147628285,-1.89209784060076,1.6321303683738568,1.5245123204331326,0.8658295820383949,1.600488853842332,0.5964259460554155,-0.2113535377260018
2021-10-11,60135.78125,60476.12890625,59811.421875,60099.6796875,42500,65.80688380167828,82.31949463978069,77.47250636583668,88894800,635.6723211885491,57276.9328125,52041.7211328125,702.117656712333,1.0570617159622402,0.0,0.0024698663701155,0.0,0.0012774535273516,6.456140350877193,1.4775226908141048,-0.9990396745229004,0.1891117402206761,-1.7803524933680073,1.5549043295687757,1.4396234251561002,2.6913571554311675,1.5995596770381162,-0.1561769490249104,4.558868655065261
2021-10-12,60284.30859375,60331.73828125,59885.390625,60045.75,6500,66.94242843097165,90.03524777951165,85.38281673893546,88901300,622.1491308357955,57430.8821875,52108.33921875,710.44177458177,1.032024991823987,0.0,0.0075101166134455,0.0,0.0024698663701154,-0.8470588235294118,1.6024246509021594,-0.8146776356683779,0.604352046775181,-1.6377207777971683,1.203650571843343,1.0492368751484946,2.581814759887545,1.5994796878186832,0.0812115444766479,-0.8754767008909222
2021-10-13,60737.05078125,60836.62890625,60452.2890625,60619.91015625,8500,70.19201005719245,95.64302622695848,89.33258954875025,88909800,617.1613580975245,57586.610625,52184.25466796875,744.9835026893779,1.0161200620693407,0.0,0.0093665798747611,0.0,0.0075101166134454,0.3076923076923077,1.986106039984362,-0.4004218730349425,0.9026203772337316,-1.3433183046998736,1.0369944254414147,0.8013811465458597,2.5183714772760006,1.6124403739074695,0.9205511050755713,-0.0123631853132993
2021-10-14,61305.94921875,61353.25,60978.0390625,61088.8203125,12600,73.69161592870527,98.3119580673042,94.6634106912581,88922400,617.0926338584156,57736.262421875,52260.75095703125,808.9384812330682,1.006578711727511,0.0,0.0074974881044566,0.0,0.009366579874761,0.4823529411764706,2.4246036766642587,0.0264804038106485,0.9975570510491611,-0.915286968550698,0.9725025812157032,0.6495024809036133,2.5705863251865946,1.6249543118140224,1.1395680349879282,0.096823491459268
2021-10-18,61765.58984375,61963.0703125,61624.6484375,61817.3203125,11800,76.13002598442439,94.21205924982884,96.05568118136382,88934200,619.9518095649574,57884.178828125,52337.3580078125,886.493474607938,1.003717136245708,0.0,-0.0008020495331675,0.0,0.0074974881044567,-0.0634920634920634,2.5682637292054102,0.3367739341513656,0.7982796163348116,-0.43040765301597,0.9644868228713892,0.5837833533684111,2.5433844787794557,1.6362940115486508,0.8547816348743645,-0.3155415881805801
2021-10-19,61716.05078125,62245.4296875,61594.2890625,62156.48046875,8600,75.31974532934322,85.67034421795465,92.7314538450292,88925600,622.1795820960318,58028.643046875,52411.07056640625,933.2016100200708,1.008132526660401,0.0,-0.0073901333279828,0.0,-0.0008020495331675,-0.2711864406779661,2.232694006016994,0.2751039241812305,0.3854345741365232,-0.1267294466013146,0.9428437770095176,0.6000371996046144,2.031041900558532,1.642430243643834,-0.454661010268608,-0.4570933076794587
2021-10-20,61259.9609375,61880.359375,61109.2890625,61800.0703125,48400,68.13012465799659,73.32453597085028,84.40231314621123,88877200,632.8146342677438,58168.287890625,52480.60162109375,922.7782914253548,1.0329987557670304,0.0,-0.0054923465890432,0.0,-0.0073901333279828,4.627906976744186,1.6401603347831912,-0.5466867589820429,-0.2267434689140647,-0.1499984436498188,1.0636098265362257,0.8473187800803456,0.5834462255649275,1.6421882950652904,-1.4100667200051216,2.6554223955032463
2021-10-21,60923.5,61621.19921875,60485.6484375,61557.94140625,7300,63.32770799676762,64.2169395752312,74.40393992134535,88869900,668.7243590521906,58298.700859375,52547.15373046875,877.2556930514329,1.0976459971147268,0.0,-0.0016722431615058,0.0,-0.0054923465890431,-0.8491735537190083,1.2311181861135885,-1.0709431609593676,-0.6605384679589298,-0.3797384933891427,1.578899504643751,1.5083742318509847,0.3316198092144245,1.6378951941430722,-1.0673613865000458,-0.8336880245865463
2021-10-22,60821.62109375,61420.12890625,60551.1484375,61044.5390625,9400,61.904792106124354,56.76677460294868,64.76941671634337,88860500,683.0283668877483,58424.040078125,52612.5307421875,823.4655315128766,1.123002568173797,0.0,0.0023910853555816,0.0,-0.0016722431615058,0.2876712328767123,1.063832368328084,-1.1708889987025348,-0.9875154117466588,-0.662547640649791,1.6786512023807123,1.656362608051621,0.0136243035640078,1.6326297588514425,-0.4771890067438588,-0.1236427844323612
2021-10-25,60967.05078125,61404.98828125,60449.6796875,61398.75,10500,63.17671693834904,59.61615822583312,60.19995746800431,88871000,702.4769545207663,58552.8625,52678.60935546875,783.5392486092969,1.1522239398478633,0.0,0.0062855416588045,0.0,0.0023910853555815,0.1170212765957445,1.1330593381347709,-0.9496220427213938,-0.7824609491727397,-0.860086434367546,1.8454175490557208,1.8242307278385557,0.2901612459033224,1.6294127496181148,0.1341176872488308,-0.2351747410394465
2021-10-26,61350.26171875,61497.7109375,60791.2890625,60997.8984375,6700,66.36362672753145,71.7217474141952,62.70156008099232,88877700,702.7587345549973,58682.988125,52746.01576171875,773.8982840995523,1.1454861232323297,0.0,-0.003372986323981,0.0,0.0062855416588045,-0.3619047619047619,1.4237898926906774,-0.4937093600322436,-0.1160533819865048,-0.8645371301655211,1.7254013392461829,1.6333436480212744,0.4490705655775813,1.629136719942352,0.6821575234122319,-0.5300841615136087
2021-10-27,61143.328125,61576.8515625,60989.390625,61499.69921875,8900,63.1836094253181,58.385682236870245,63.241195958966166,88868800,694.5231776224975,58797.10890625,52810.8483984375,741.0179450637224,1.1358936435429725,0.0,-0.0189493922195619,0.0,-0.0033729863239809,0.3283582089552239,1.1529991442944545,-0.8513715075650911,-0.7726433110625199,-1.016170744739057,1.5193867094835556,1.4596542911688126,0.1236599825416393,1.6256549638616378,-0.7534756270345929,-0.0938320591265617
2021-10-28,59984.69921875,61081.0,59777.578125,61081.0,8600,49.02008151201879,8.392769520553365,46.16673305720625,88860200,742.4679506494621,58885.151328125,52868.58298828125,614.3861091944636,1.2377622299010906,0.0,-0.011299040256555,0.0,-0.0189493922195619,-0.0337078651685393,-0.0846732728637325,-2.4328929210140835,-2.8567663256390188,-1.7233648647453206,2.1775758901888294,2.402397975400345,-0.1873335459094046,1.6128101602991367,-2.617323256895618,-0.3137922917311677
2021-10-29,59306.9296875,60132.80859375,59089.37109375,59857.328125,9000,42.954186675890575,6.893363582692515,24.557271780038693,88851200,763.965775603072,58955.44453125,52924.24734375,454.1044961579319,1.2881560040766895,0.0,0.0140208109639379,0.0,-0.011299040256555,0.0465116279069768,-0.8153341471001336,-2.781028000472295,-2.5267865631193938,-2.4470019921417427,2.3531404165061165,2.66889297530332,-0.4748279630656316,1.5987830929297524,-1.4773185827211783,-0.2323688106345588
2021-11-01,60138.4609375,60220.2109375,59355.12109375,59577.48046875,7200,50.97025958558162,33.24050592177001,16.17554634167195,88858400,774.631166631424,59045.623984375,52984.473046875,389.6857310021514,1.2880794662112716,0.0,-0.0018191743194708,0.0,0.0140208109639379,-0.1999999999999999,0.0340645125670844,-1.7320680220194573,-1.315531710210174,-2.4893575973403688,2.299950928147138,2.394575179310391,-0.2511154191189618,1.5936216402713133,1.6451006129857333,-0.3971185508412701
2021-11-02,60029.05859375,60421.140625,59881.75,60360.609375,6000,49.97525375769566,29.774082834231283,23.302650779564587,88852400,757.828270800608,59139.61875,53040.70578125,326.0470729769368,1.2624357078948265,0.0,-0.0042835374196051,0.0,-0.0018191743194708,-0.1666666666666666,-0.1502189670923991,-1.684001121104309,-1.375230509336901,-2.4694213396586027,1.8731230252021236,1.9474555629635355,-0.4873581139503648,1.5839032839390386,-0.3421846615520936,-0.3642737402615464
2021-11-03,59771.921875,60361.8203125,59552.48828125,60275.2109375,8500,47.62215591011952,21.62668280625929,28.213757187420185,88843900,761.5071108327074,59223.94140625,53093.2187890625,251.95975852155243,1.2740214584788394,0.0,0.0049471258322325,0.0,-0.0042835374196051,0.4166666666666667,-0.4919630992299756,-1.7672158781874967,-1.5629499467010326,-2.465730626303087,1.7753003354168386,1.8747107076543632,-0.7865163665384256,1.570491175065347,-0.6046875731769487,-0.0091632979197367
2021-11-04,60067.62109375,60207.96875,60011.4609375,60207.96875,1800,50.50811227526858,30.99593911016881,27.46556825021978,88845700,738.2599511303712,59306.11421875,53145.97134765625,214.63134717021603,1.2290480922794305,0.0,0.0079575031031108,0.0,0.0049471258322326,-0.788235294117647,-0.1921736407376369,-1.3588425909029325,-1.1351258938862658,-2.3104341501915417,1.3399256597139555,1.3652287854431506,-0.7838742468766444,1.559639239088057,0.5429535532592663,-0.741059882224433
2021-11-08,60545.609375,60609.16015625,59779.19140625,60385.76171875,7500,54.83973277521878,46.14104073143049,32.921220882619515,88853200,744.810579621059,59398.1421875,53201.23779296875,221.06961886453064,1.230164478167099,0.0,-0.001852490335927,0.0,0.0079575031031107,3.166666666666667,0.3751237506150905,-0.8587044647814037,-0.5241410172472348,-2.053372109972825,1.3484069901207845,1.285685879782838,-0.5022116236638408,1.554288952839025,1.015886928930955,1.6705460057028625
2021-11-09,60433.44921875,60670.46875,60213.640625,60609.71875,6200,53.6530975899394,48.15778461090592,41.76492148416839,88847000,724.2404042909833,59487.829140625,53255.48423828125,214.6472879969442,1.1984098436438102,0.0,-0.0013341768059299,0.0,-0.001852490335927,-0.1733333333333333,0.2196272777327833,-0.9296589037088996,-0.4037589341879333,-1.90196308830511,0.964002591339414,0.925706024706668,-0.6835925679805431,1.5484195867279842,-0.2810711621131881,-0.3842893134654894
2021-11-10,60352.8203125,60506.5,59967.44921875,60295.26171875,7500,52.76912533593522,49.9026456920333,48.06715701145655,88839500,711.0125740737702,59572.391171875,53312.07498046875,200.7374888072736,1.178093368946519,0.0,-0.0071766141831866,0.0,-0.0013341768059299,0.2096774193548387,0.1079401706723112,-0.9773379271298014,-0.2944564841668578,-1.80903686705986,0.6992815400597978,0.6774277881409475,-0.8897000569748892,1.5471052978531374,-0.203132419656665,-0.1626284726524224
2021-11-11,59919.69140625,60293.25,59656.26171875,60291.69921875,6200,48.17718402736255,33.37997314677408,43.81346781657109,88833300,709.9801469077867,59632.989765625,53368.85208984375,153.00029761813494,1.184886187237158,0.0,0.012800466457676,0.0,-0.0071766141831866,-0.1733333333333333,-0.4448487708542468,-1.4010535873303591,-0.8913188043881081,-1.8376648303333536,0.6324257052803373,0.6954385831540477,-1.0533404641845034,1.5469263657327803,-0.9843166676429326,-0.3546079218084499
2021-11-12,60686.69140625,60750.71875,59997.9609375,60248.0390625,6900,55.553170310872346,64.21438610541854,49.16566831474197,88840200,718.626375253659,59695.67578125,53425.2941015625,175.0409564002257,1.1841581055111683,0.0,0.0005276203152294,0.0,0.0128004664576759,0.1129032258064515,0.4714920355438857,-0.5204072125750827,0.3107894916362691,-1.626197982397197,0.7267180111176783,0.638772550058365,-0.8106560188422722,1.547227984895695,1.5554084914300308,-0.1812189914520921
2021-11-15,60718.7109375,61036.55859375,60597.359375,60837.3984375,7100,55.835771528897176,65.50161354910136,54.36532426709798,88847300,698.6672926462549,59763.28578125,53479.92705078125,192.8687746750802,1.1506622618609588,0.0,-0.0065274746059409,0.0,0.0005276203152295,0.0289855072463767,0.4623594804908734,-0.4622367216143451,0.3381548498671263,-1.448262273598819,0.3333693811742895,0.2522956447340457,-0.5894868183564809,1.5459110091336483,-0.0503822446053996,-0.245520068161774
2021-11-16,60322.37109375,60802.7890625,60199.55859375,60755.37890625,6300,51.473113919883765,49.56822839375309,59.76140934942432,88841000,691.8503766536652,59812.682421875,53533.41509765625,173.02165017902735,1.146921720929083,0.0,-0.0052060779948773,0.0,-0.0065274746059409,-0.1126760563380281,-0.1442105612940475,-0.927080786149872,-0.3259371689024592,-1.4089060576265646,0.1623520644071992,0.1722320008115404,-0.8421109138073143,1.544714293004381,-0.9648297026726396,-0.3297854818257371
2021-11-17,60008.328125,60426.609375,59944.76953125,60179.9296875,19900,48.25579504042721,46.140976783686405,53.73693957551361,88821100,676.8496243034034,59850.25,53589.06404296875,130.4482913125612,1.127926148673057,0.0,-0.0062044122521535,0.0,-0.0052060779948773,2.1587301587301586,-0.6600358370735748,-1.2063886405431865,-0.4592074019900689,-1.4436516408537514,-0.1612246939513452,-0.0677179657680098,-1.492811979349528,1.5486845725955325,-0.7392112538291079,1.0488868217938776
