Date,Action_Target,Price,Position_State,Portfolio_Value
2023-11-16,FLAT,65982.4765625,0,100907.99609375
2023-11-17,FLAT,65794.7265625,0,100907.99609375
2023-11-20,FLAT,65655.1484375,0,100907.99609375
2023-11-21,FLAT,65930.7734375,0,100907.99609375
2023-11-22,FLAT,66023.2421875,0,100907.99609375
2023-11-23,FLAT,66017.8125,0,100907.99609375
2023-11-24,FLAT,65970.0390625,0,100907.99609375
2023-11-28,FLAT,66174.203125,0,100907.99609375
2023-11-29,FLAT,66901.90625,0,100907.99609375
2023-11-30,FLAT,66988.4375,0,100907.99609375
2023-12-01,FLAT,67481.1875,0,100907.99609375
2023-12-04,FLAT,68865.1171875,0,100907.99609375
2023-12-05,FLAT,69296.140625,0,100907.99609375
2023-12-06,FLAT,69653.7265625,0,100907.99609375
2023-12-07,FLAT,69521.6875,0,100907.99609375
2023-12-08,FLAT,69825.6015625,0,100907.99609375
2023-12-11,FLAT,69928.53125,0,100907.99609375
2023-12-12,FLAT,69551.03125,0,100907.99609375
2023-12-13,FLAT,69584.6015625,0,100907.99609375
2023-12-14,FLAT,70514.203125,0,100907.99609375
2023-12-15,FLAT,71483.75,0,100907.99609375
2023-12-18,FLAT,71315.09375,0,100907.99609375
2023-12-19,FLAT,71437.1875,0,100907.99609375
2023-12-20,FLAT,70506.3125,0,100907.99609375
2023-12-21,FLAT,70865.1015625,0,100907.99609375
2023-12-22,FLAT,71106.9609375,0,100907.99609375
2023-12-26,FLAT,71336.796875,0,100907.99609375
2023-12-27,FLAT,72038.4296875,0,100907.99609375
2023-12-28,FLAT,72410.3828125,0,100907.99609375
2023-12-29,FLAT,72240.2578125,0,100907.99609375
2024-01-02,FLAT,71892.4765625,0,100907.99609375
2024-01-03,FLAT,71356.6015625,0,100907.99609375
2024-01-04,FLAT,71847.5703125,0,100907.99609375
2024-01-05,FLAT,72026.1484375,0,100907.99609375
2024-01-08,FLAT,71355.21875,0,100907.99609375
2024-01-09,FLAT,71386.2109375,0,100907.99609375
2024-01-10,FLAT,71657.7109375,0,100907.99609375
2024-01-11,FLAT,71721.1796875,0,100907.99609375
2024-01-12,FLAT,72568.453125,0,100907.99609375
